"drug","target"
"DB00014","BE0000134"
"DB00014","BE0000203"
"DB00035","BE0000165"
"DB00035","BE0000293"
"DB00035","BE0000773"
"DB00050","BE0000134"
"DB00050","BE0000203"
"DB00104","BE0000452"
"DB00104","BE0002147"
"DB00104","BE0003528"
"DB00120","BE0000028"
"DB00120","BE0000038"
"DB00120","BE0000561"
"DB00120","BE0000614"
"DB00120","BE0000692"
"DB00120","BE0000753"
"DB00120","BE0000789"
"DB00159","BE0000017"
"DB00159","BE0000262"
"DB00159","BE0000888"
"DB00159","BE0000986"
"DB00159","BE0001023"
"DB00159","BE0000215"
"DB00159","BE0000688"
"DB00159","BE0000996"
"DB00159","BE0001007"
"DB00159","BE0001093"
"DB00163","BE0000076"
"DB00163","BE0000248"
"DB00163","BE0000256"
"DB00163","BE0000339"
"DB00163","BE0000872"
"DB00163","BE0000956"
"DB00163","BE0001132"
"DB00163","BE0002324"
"DB00163","BE0002325"
"DB00163","BE0002326"
"DB00175","BE0000574"
"DB00176","BE0000749"
"DB00177","BE0000062"
"DB00178","BE0000221"
"DB00187","BE0000172"
"DB00193","BE0000641"
"DB00193","BE0000045"
"DB00193","BE0000420"
"DB00193","BE0000486"
"DB00193","BE0000533"
"DB00193","BE0000632"
"DB00193","BE0000749"
"DB00193","BE0000770"
"DB00193","BE0003438"
"DB00195","BE0000172"
"DB00195","BE0000694"
"DB00201","BE0000487"
"DB00201","BE0000013"
"DB00201","BE0000739"
"DB00201","BE0000924"
"DB00201","BE0002379"
"DB00201","BE0002385"
"DB00201","BE0002406"
"DB00201","BE0002407"
"DB00201","BE0004874"
"DB00201","BE0004914"
"DB00201","BE0004922"
"DB00206","BE0000118"
"DB00206","BE0004674"
"DB00208","BE0000110"
"DB00209","BE0000092"
"DB00214","BE0000502"
"DB00215","BE0000092"
"DB00215","BE0000501"
"DB00215","BE0000749"
"DB00215","BE0000442"
"DB00220","BE0000664"
"DB00222","BE0000207"
"DB00222","BE0000644"
"DB00222","BE0000708"
"DB00223","BE0000794"
"DB00224","BE0004854"
"DB00227","BE0000516"
"DB00227","BE0000574"
"DB00227","BE0002366"
"DB00232","BE0000267"
"DB00232","BE0000322"
"DB00232","BE0000502"
"DB00232","BE0000535"
"DB00233","BE0000262"
"DB00233","BE0000248"
"DB00233","BE0000054"
"DB00233","BE0003768"
"DB00233","BE0004655"
"DB00237","BE0000826"
"DB00237","BE0000829"
"DB00237","BE0000849"
"DB00237","BE0002341"
"DB00237","BE0004797"
"DB00240","BE0000794"
"DB00242","BE0000250"
"DB00242","BE0000325"
"DB00242","BE0000546"
"DB00242","BE0002450"
"DB00242","BE0003613"
"DB00242","BE0003614"
"DB00242","BE0003615"
"DB00242","BE0003616"
"DB00242","BE0003617"
"DB00245","BE0000092"
"DB00245","BE0000647"
"DB00245","BE0000442"
"DB00246","BE0000045"
"DB00246","BE0000092"
"DB00246","BE0000501"
"DB00246","BE0000533"
"DB00246","BE0000560"
"DB00246","BE0000575"
"DB00246","BE0000756"
"DB00246","BE0000020"
"DB00246","BE0000145"
"DB00246","BE0000247"
"DB00246","BE0000289"
"DB00246","BE0000291"
"DB00246","BE0000311"
"DB00246","BE0000342"
"DB00246","BE0000389"
"DB00246","BE0000405"
"DB00246","BE0000442"
"DB00246","BE0000451"
"DB00246","BE0000476"
"DB00246","BE0000572"
"DB00246","BE0000581"
"DB00246","BE0000650"
"DB00246","BE0000659"
"DB00246","BE0000797"
"DB00246","BE0000945"
"DB00261","BE0000436"
"DB00262","BE0000648"
"DB00263","BE0000803"
"DB00264","BE0000172"
"DB00264","BE0000694"
"DB00266","BE0000713"
"DB00266","BE0001184"
"DB00266","BE0001185"
"DB00268","BE0000533"
"DB00268","BE0000756"
"DB00268","BE0000020"
"DB00268","BE0000145"
"DB00268","BE0000289"
"DB00268","BE0000291"
"DB00268","BE0000342"
"DB00268","BE0000389"
"DB00268","BE0000393"
"DB00268","BE0000451"
"DB00268","BE0000572"
"DB00268","BE0000581"
"DB00268","BE0000659"
"DB00268","BE0000797"
"DB00270","BE0000430"
"DB00270","BE0000691"
"DB00270","BE0000864"
"DB00270","BE0002354"
"DB00270","BE0002355"
"DB00270","BE0002359"
"DB00270","BE0002396"
"DB00275","BE0000062"
"DB00276","BE0000090"
