"smiles","drug","drugs"
"NC1=NC(=O)C2=C(NC[C@@H](CCC3=CC=C(C=C3)C(=O)N[C@H](CCC(O)=O)C(O)=O)C2)N1","DB03625","DB03625"
"FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1","DB04908","DB04908"
"NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]4O[C@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1","DB02059","DB02059"
"[H][C@@](CC)(CO)NC(=O)CC1=C(C)N(C(=O)C2=CC=C(Cl)C=C2)C2=CC=C(OC)C=C12","DB07981","DB07981"
"CC[C@@H](C)C1=NC=CS1","DB03087","DB03087"
"[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H]","DB00760","DB00760"
"OCCOC1=CC=C(C=C1)C(=C(CCCl)C1=CC=CC=C1)C1=CC=CC=C1","DB04938","DB04938"
"CC1=CC=C(OCC(NC2=CC(C[C@H](N)C(O)=O)=C(O)C=C2O)=CC=O)C=C1","DB02537","DB02537"
"N[C@@H](CC1=CC=CC=C1)C(O)=O","DB00120","DB00120"
"[H][C@]1(CC2=CC=CC=C2)N(CC=C)C(=O)N(CC=C)[C@]([H])(CC2=CC=CC=C2)[C@]([H])(O)[C@@]1([H])O","DB06910","DB06910"
"OC[C@H]1[C@H](O)[C@@H](O)[C@H](O)C2=NN=NN12","DB02294","DB02294|DB02471"
"CC(C)NCC(O)COC1=CC=CC=C1CC=C","DB00866","DB00866"
"CC1=NC2=C(N1)C=C1C(=O)NC(N)=NC1=C2","DB08511","DB08511"
"C[C@](O)(C1=CC=C(C=C1)C(=O)N(C1CC1)C1CCN(CC2(CC2)C(N)=O)CC1)C(F)(F)F","DB07316","DB07316"
"[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1","DB00511","DB00511"
"N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","DB00509","DB00509"
"CC1=CC(CC2=NN(C3=C2C(N)=NC=N3)C(C)(C)C)=CC=C1","DB08699","DB08699"
"OC(=O)C(=O)CC(=O)C1=CC=CC(=C1)N(CC1=CC=CC=C1)CC1=CC=CC=C1","DB08147","DB08147"
"NC1=Nc2ncc(CCC3=CC=C(C=C3)C(=O)N[C@H](CCc3nnnn3)C(O)=O)c2C(=O)N1","DB03038","DB03038"
"OC1=CC=C(C=C1)C1=CC2=C(C=CC3=C2C=NC=C3)N=C1","DB03623","DB03623"
