"smiles","drug_label"
"CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O","Pyridoxal Phosphate (DB00114)"
"N[C@@H](CC1=CN=CN1)C(O)=O","L-Histidine (DB00117)"
"N[C@@H](CCC(O)=O)C(O)=O","L-Glutamic Acid (DB00142)"
"N[C@@H](CCCNC(N)=N)C(O)=O","L-Arginine (DB00125)"
"NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","Adenosine monophosphate (DB00131)"
"NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1","Tetrahydrofolic acid (DB00116)"
"OC(=O)CCC(O)=O","Succinic acid (DB00139)"
"N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","L-Cystine (DB00138)"
"CC(=O)C(O)=O","Pyruvic acid (DB00119)"
"NCCCC[C@H](N)C(O)=O","L-Lysine (DB00123)"
"NCCC[C@H](N)C(O)=O","L-Ornithine (DB00129)"
"[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO","Vitamin C (DB00126)"
"N[C@@H](CO)C(O)=O","L-Serine (DB00133)"
"[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","Biotin (DB00121)"
"C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12","S-Adenosylmethionine (DB00118)"
"N[C@@H](CC(O)=O)C(O)=O","L-Aspartic Acid (DB00128)"
"N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","L-Tyrosine (DB00135)"
"OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)C1=C(C)/C1=N/C(=CC3=NC(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12","Cyanocobalamin (DB00115)"
"CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1","Riboflavin (DB00140)"
"N[C@@H](CCC(N)=O)C(O)=O","L-Glutamine (DB00130)"
"CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","Cyclosporine (DB00091)"
"NCCCNCCCCNCCCN","Spermine (DB00127)"
"C[N+](C)(C)CCO","Choline (DB00122)"
"CC(C)OP(F)(=O)OC(C)C","Isoflurophate (DB00677)"
"CSCC[C@H](N)C(O)=O","L-Methionine (DB00134)"
"C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)C[C@H](O)C1=C","Calcitriol (DB00136)"
"CCC=C/CC=C/CC=C/CCCCCCCC(O)=O","Alpha-Linolenic Acid (DB00132)"
"[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO","N-Acetyl-D-glucosamine (DB00141)"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O","Piperacillin (DB00319)"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O","Ampicillin (DB00415)"
"[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1","Amdinocillin (DB01163)"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1Cl)C(O)=O","Cloxacillin (DB01147)"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O","Penicillin V (DB00417)"
"C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F","Aprepitant (DB00673)"
"OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O","Atovaquone (DB01117)"
"NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O","Felypressin (DB00093)"
"CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1","Amiodarone (DB01118)"
"OCC([NH3+])(CO)CO.CCCCC[C@@](O)(C)C=C[C@H]1[C@@H](O)C[C@H](O)[C@@H]1CC=C/CCCC(=O)[O-]","Carboprost Tromethamine (DB00429)"
"CC[N+](C)(C)CC1=CC=CC=C1Br","Bretylium (DB01158)"
"N[C@@H](CCCNC(N)=O)C(O)=O","L-Citrulline (DB00155)"
"NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O","NADH (DB00157)"
"N[C@@H](CS)C(O)=O","L-Cysteine (DB00151)"
"OC(=O)CCCCC1CCSS1","Lipoic Acid (DB00166)"
"NCC(O)=O","Glycine (DB00145)"
"C[C@H](N)C(O)=O","L-Alanine (DB00160)"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","Adenosine triphosphate (DB00171)"
"C[C@@H](O)[C@H](N)C(O)=O","L-Threonine (DB00156)"
"CC(C)C[C@H](N)C(O)=O","L-Leucine (DB00149)"
"CC(C)[C@H](N)C(O)=O","L-Valine (DB00161)"
"CC[C@H](C)[C@H](N)C(O)=O","L-Isoleucine (DB00167)"
"C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)CCC1=C","Calcidiol (DB00146)"
"CC(C)[C@@H](C)C=C[C@@H](C)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)CCC1=C","Ergocalciferol (DB00153)"
"CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)CCC1=C","Cholecalciferol (DB00169)"
"COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O","Aspartame (DB00168)"
"CC(=C/CO)C=CC=C(/C)C=CC1=C(C)CCCC1(C)C","Vitamin A (DB00162)"
"CC1=NC=C(CO)C(C=O)=C1O","Pyridoxal (DB00147)"
"CC1=C(O)C(CO)=C(CO)C=N1","Pyridoxine (DB00165)"
"CN(CC(O)=O)C(N)=N","Creatine (DB00148)"
"CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","Thiamine (DB00152)"
"N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","Glutathione (DB00143)"
"CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O","Phosphatidylserine (DB00144)"
"CC1=CC(=O)C2=CC=CC=C2C1=O","Menadione (DB00170)"
"N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O","L-Tryptophan (DB00150)"
"NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1","Folic Acid (DB00158)"
"CCCCCC=C/CC=C/CC=C/CCCCCCC(O)=O","Dihomo-gamma-linolenic acid (DB00154)"
"OC(=O)[C@@H]1CCCN1","L-Proline (DB00172)"
"NC1=C2NC=NC2=NC=N1","Adenine (DB00173)"
"O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O","Alpha-Phosphoribosylpyrophosphoric Acid (DB01632)"
"N[C@@H](CC(N)=O)C(O)=O","L-Asparagine (DB00174)"
"CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl","Ambenonium (DB01122)"
"O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1","Sulfinpyrazone (DB01138)"
"OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","D-Sorbitol (DB01638)"
"CN(CC#C)CC1=CC=CC=C1","Pargyline (DB01626)"
"[H][C@]12O[C@]11CC[C@@]3([H])[C@]4([H])CC[C@H](O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC(C#N)=C2O","Trilostane (DB01108)"
"Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl","Lindane (DB00431)"
"COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC","Trimetrexate (DB01157)"
"COCC1=C(C2=CC=C(F)C=C2)C(C=C[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C","Cerivastatin (DB00439)"
"[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC","Vindesine (DB00309)"
"CC[C@@H](CO)NCCN[C@@H](CC)CO","Ethambutol (DB00330)"
"NC(=O)NN=CC1=CC=C(O1)[N+]([O-])=O","Nitrofural (DB00336)"
"OP(O)(O)=O.OP(O)(O)=O.NCCC1=CN=CN1","Histamine Phosphate (DB00667)"
"[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12","Doxepin (DB01142)"
"CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1","Ibutilide (DB00308)"
"[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1","Ceftazidime (DB00438)"
"CC(=O)NC1C(O)OC(COS(O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4OS(O)(=O)=O)C(O)=O)C(OS(O)(=O)=O)C3NS(O)(=O)=O)C(O)C2OS(O)(=O)=O)C(O)=O)C1O","Ardeparin (DB00407)"
"[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O","Ceruletide (DB00403)"
"CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO","Miglustat (DB00419)"
"CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O","Famciclovir (DB00426)"
"C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O","Mupirocin (DB00410)"
"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O","Cefpiramide (DB00430)"
