"smiles","drug_id"
"CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","DB00091"
"NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O","DB00093"
"CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O","DB00114"
"OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)C1=C(C)/C1=N/C(=CC3=NC(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12","DB00115"
"NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1","DB00116"
"N[C@@H](CC1=CN=CN1)C(O)=O","DB00117"
"C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12","DB00118"
"CC(=O)C(O)=O","DB00119"
"[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","DB00121"
"C[N+](C)(C)CCO","DB00122"
"NCCCC[C@H](N)C(O)=O","DB00123"
"N[C@@H](CCCNC(N)=N)C(O)=O","DB00125"
"[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO","DB00126"
"NCCCNCCCCNCCCN","DB00127"
"N[C@@H](CC(O)=O)C(O)=O","DB00128"
"NCCC[C@H](N)C(O)=O","DB00129"
"N[C@@H](CCC(N)=O)C(O)=O","DB00130"
"NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","DB00131"
"CCC=C/CC=C/CC=C/CCCCCCCC(O)=O","DB00132"
"N[C@@H](CO)C(O)=O","DB00133"
"CSCC[C@H](N)C(O)=O","DB00134"
"N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","DB00135"
"C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)C[C@H](O)C1=C","DB00136"
"N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","DB00138"
"OC(=O)CCC(O)=O","DB00139"
"CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1","DB00140"
"[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO","DB00141"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O","DB00319"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O","DB00415"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O","DB00417"
"OCC([NH3+])(CO)CO.CCCCC[C@@](O)(C)C=C[C@H]1[C@@H](O)C[C@H](O)[C@@H]1CC=C/CCCC(=O)[O-]","DB00429"
"C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F","DB00673"
"CC(C)OP(F)(=O)OC(C)C","DB00677"
"OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O","DB01117"
