run,fold,method,precision,recall,accuracy,roc_auc,f1,average_precision
1,0,Random Forest,0.8493690851735016,0.7960088691796009,0.8276116648209672,0.89932183915564,0.8218237314002289,0.9109299635915284
1,1,Random Forest,0.8627925746569814,0.7883480825958702,0.8311784263021795,0.9067379347538914,0.8238921001926783,0.918041382261156
1,2,Random Forest,0.864406779661017,0.7898230088495575,0.8332106038291606,0.9044673455665453,0.8254335260115606,0.915830012558916
1,3,Random Forest,0.867704280155642,0.8234859675036927,0.8491331611951309,0.9172946448689382,0.8450170519136035,0.9226521051885352
1,4,Random Forest,0.8604838709677419,0.7938988095238095,0.8332715820674323,0.9029454401686874,0.8258513931888544,0.9135163355233076
1,5,Random Forest,0.8597904915390814,0.7892011834319527,0.8296846011131725,0.9004863592504637,0.8229849595063632,0.9104427652625551
1,6,Random Forest,0.871499176276771,0.7831236121391562,0.8341337273734761,0.9098938511623641,0.8249512670565302,0.9184305226141215
1,7,Random Forest,0.8667205169628432,0.7918819188191882,0.8351161932866101,0.9133322992521961,0.8276128037022753,0.9220406671258493
1,8,Random Forest,0.850199203187251,0.7897853441894893,0.8255728011825573,0.9006134583921709,0.8188795088257866,0.9085088502635364
1,9,Random Forest,0.8634868421052632,0.7749077490774908,0.8260066494274104,0.9040432105504488,0.8168028004667446,0.9176373062774454
2,0,Random Forest,0.8505564387917329,0.7861866274797943,0.8238970588235294,0.8987283189491345,0.8171057655593739,0.9121232791012246
2,1,Random Forest,0.86960065199674,0.7903703703703704,0.8361686390532544,0.9102888560643361,0.8280946837407838,0.9187710993681785
2,2,Random Forest,0.8606492478226445,0.8022140221402214,0.8363435311463324,0.9114586786515878,0.8304048892284186,0.919933762810055
2,3,Random Forest,0.8635996771589992,0.7914201183431953,0.833394902105652,0.904949343872137,0.8259359320725589,0.9104686524796435
2,4,Random Forest,0.8605577689243028,0.7994078460399704,0.8353636028054633,0.9059674882185126,0.8288564850345357,0.9144701359144523
2,5,Random Forest,0.8579192546583851,0.8167036215816703,0.8410180745112504,0.908389364386347,0.8368042408178721,0.918720801611025
2,6,Random Forest,0.8679562657695542,0.765011119347665,0.8243793997776955,0.8975617055157457,0.8132387706855791,0.9119001989041455
2,7,Random Forest,0.8696356275303644,0.7914517317612381,0.8360413589364845,0.9074107609909305,0.8287037037037037,0.9176634383006597
2,8,Random Forest,0.8691056910569106,0.7924388435878429,0.8372093023255814,0.9089799633715606,0.8290034897246995,0.9186031671091196
2,9,Random Forest,0.8581673306772908,0.7977777777777778,0.8337633615923332,0.9043862938507106,0.8268714011516315,0.9139871113155392
